comp_id,name,bedrooms,bathrooms,sleeps,amenities,notes,source_url,airbnb_room_id,platform,for_properties,active,as_of,stay_date,listed_price,available,source
comp_ranch_creek,Ranch Creek Log Home,5,4.0,18,hot tub|fireplace|mountain views,Sleeps 18; Fraser Home; score 92 core; live sweep 2026-09-20 Dec 5 $1360,https://www.airbnb.com/rooms/897819634480326640,897819634480326640,airbnb,cloud_9,1,,,,,
comp_family_friendly,Family Friendly 6BR Mountain Home,6,4.0,16,hot tub|king beds|game room,Sleeps 16; Winter Park Home; score 84 core; live sweep 2026-09-20,https://www.airbnb.com/rooms/28918989,28918989,airbnb,cloud_9,1,,,,,
comp_the_views,The Views 6BR Chalet,6,4.0,16,hot tub|king beds|mountain views,Sleeps 16; Fraser Home; score 85 core; live sweep 2026-09-20 Dec 5 $696 (below $700 floor that night),https://www.airbnb.com/rooms/22769369,22769369,airbnb,cloud_9,1,,,,,
comp_wp_ski_house,Winter Park Ski House,7,7.5,16,hot tub|ski-in/ski-out|fireplace|game room,Sleeps 16; Mary Jane SISO premium (max 1); score 78; live sweep 2026-09-20 Dec 5 $2004,https://www.airbnb.com/rooms/998026465866480254,998026465866480254,airbnb,cloud_9,1,,,,,
comp_grand_park_retreat,Luxury Grand Park Retreat,4,4.0,,hot tub|Grand Park|mountain views,Dropped 2026-09-20: live payload is 4BR townhouse in Fraser (fails bedrooms≥5); kept inactive for history,https://www.airbnb.com/rooms/1761114119243255736,1761114119243255736,airbnb,cloud_9,0,,,,,
comp_lakota_reserve,Lakota Reserve,6,6.5,18,hot tub|ski views|EV charger|luxury linens|game room,Sleeps 18; WPLC direct; score 90; weekly manual snapshots,https://www.winterparklodgingcompany.com/rentals/lakota-reserve,,direct,cloud_9,1,,,,,
comp_deer,Deer,7,5.5,16,hot tub|shuttle route|3 king suites|game room,Sleeps 16; WPH value floor; score 86; weekly manual snapshots,https://winterparkhouse.com/our-homes/deer/,,direct,cloud_9,1,,,,,
comp_brooky,Brooky,9,7.0,16,hot tub|pool table|resort views|dual kitchen|game room,Sleeps 16+; WPH ultra-luxury ceiling anchor; score 76; weekly manual snapshots,https://winterparkhouse.com/our-homes/brooky/,,direct,cloud_9,1,,,,,
